name,value,value_en,updated_by,user_id,status
name,Name,Name,1,1,active
email,Email,Email,1,1,active
phone,Phone,Phone,1,1,active
timezone,Timezone,TimeZone,1,1,active
time_format,Time Format,Time Format,1,1,active
date_format,Date Format,Date Format,1,1,active
status,Status,Status,1,1,active
create_customer,Create New Customer,Create New Customer,1,1,active
customer_list,Customer Lists,Customer Lists,1,1,active
admin_list,Admin Lists,Admin Lists,1,1,active
create_admin,Create Admin,Create Admin,1,1,active
create_consultant,Create Consultant,Create Consultant,1,1,active
manage_category,Manage Category,Manage Category,1,1,active
add_new_category,Add New Category,Add New Category,1,1,active
category_name,Category Name,Category Name,1,1,active
slug,Slug,Slug,1,1,active
manage_article,Manage Article,Manage Article,1,1,active
create_new_article,Create New Category,Create New Category,1,1,active
category,Category,Category,1,1,active
title,Title,Title,1,1,active
ref_link,Reference Link,Reference Link,1,1,active
content,Content,Content,1,1,active
public_private,Public or Private,Public or Private,1,1,active
manage_general_setting,Manage General Setting,Manage General Setting,1,1,active
website_title,Website Title,Website Title,1,1,active
base_color_code,BASE COLOR CODE,BASE COLOR CODE,1,1,active
bg_color_code,BACKFROUND Color CODE,BACKFROUND Color CODE,1,1,active
registration,Registration,Registration,1,1,active
email_verify,EMAIL VERIFICATION,EMAIL VERIFICATION,1,1,active
email_noti,EMAIL NOTIFICATION,EMAIL NOTIFICATION,1,1,active
manage_footer,Manage Footer,Manage Footer,1,1,active
footer_content,Footer Content,Footer Content,1,1,active
manage_social,Manage Social,Manage Social,1,1,active
add_social,Add Social,Add Social,1,1,active
code,Code,Code,1,1,active
link,Link,Link,1,1,active
present_logo,Present Logo,Present Logo,1,1,active
present_icon,Present Icon,Present Icon,1,1,active
manage_aboutus,Manage About Us,Manage About Us,1,1,active
aboutus,About Us,About Us,1,1,active
manage_faq,Manage FAQ,Manage FAQ,1,1,active
question,Question,Question,1,1,active
answer,Answer,Answer,1,1,active
manage_label,Manage Label,Manage Label,1,1,active
value,Value,Value,1,1,active
manage_timeslot,Manage Timeslot,Manage Timeslot,1,1,active
slot_no,Slot No,Slot No,1,1,active
slot_value,Slot Value,Slot Value,1,1,active
manage_country,Manage Country,Manage Country,1,1,active
country_code,Country Code,Country Code,1,1,active
my_profile,My Profile,My Profile,1,1,active
manage_emp,Manage Employee,Manage Employee,1,1,active
create_emp,Create Employee,Create Employee,1,1,active
